"","DateAdded","TravelR","TravelNR","Community","UnkPend","All","AllKnown","PercentTravRel"
"1",2020-03-02,1,0,0,0,1,1,100
"2",2020-03-05,0,1,0,0,1,1,100
"3",2020-03-08,1,0,0,0,1,1,100
"4",2020-03-09,0,0,1,0,1,1,0
"5",2020-03-13,0,2,0,0,2,2,100
"6",2020-03-14,4,1,0,0,5,5,100
"7",2020-03-15,2,1,0,0,3,3,100
"8",2020-03-16,1,0,1,0,2,2,50
"9",2020-03-17,5,1,0,0,6,6,100
"10",2020-03-18,7,0,2,0,9,9,77.7777777777778
"11",2020-03-19,15,1,2,0,18,18,88.8888888888889
"12",2020-03-20,7,2,2,0,11,11,81.8181818181818
"13",2020-03-21,8,1,1,0,10,10,90
"14",2020-03-22,13,3,4,0,20,20,80
"15",2020-03-23,11,2,2,0,15,15,86.6666666666667
"16",2020-03-24,8,1,0,0,9,9,100
"17",2020-03-25,14,0,5,0,19,19,73.6842105263158
"18",2020-03-26,10,1,7,0,18,18,61.1111111111111
"19",2020-03-27,26,2,10,0,38,38,73.6842105263158
"20",2020-03-28,20,2,7,0,29,29,75.8620689655172
"21",2020-03-29,19,1,11,0,31,31,64.5161290322581
"22",2020-03-30,14,0,8,0,22,22,63.6363636363636
"23",2020-03-31,23,2,7,0,32,32,78.125
"24",2020-04-01,12,1,15,0,28,28,46.4285714285714
"25",2020-04-02,19,0,20,0,39,39,48.7179487179487
"26",2020-04-03,6,0,16,0,22,22,27.2727272727273
"27",2020-04-04,4,2,10,0,16,16,37.5
"28",2020-04-05,8,1,9,0,18,18,50
"29",2020-04-06,8,1,13,0,22,22,40.9090909090909
"30",2020-04-07,6,1,14,0,21,21,33.3333333333333
"31",2020-04-08,4,0,5,0,9,9,44.4444444444444
"32",2020-04-09,4,1,6,0,11,11,45.4545454545455
"33",2020-04-10,3,1,16,0,20,20,20
"34",2020-04-11,2,0,12,0,14,14,14.2857142857143
"35",2020-04-12,0,0,4,0,4,4,0
"36",2020-04-13,0,0,6,0,6,6,0
"37",2020-04-14,3,1,7,0,11,11,36.3636363636364
"38",2020-04-15,1,1,9,0,11,11,18.1818181818182
"39",2020-04-16,4,0,5,0,9,9,44.4444444444444
"40",2020-04-17,1,0,19,0,20,20,5
"41",2020-04-18,0,0,8,0,8,8,0
"42",2020-04-19,0,0,4,0,4,4,0
"43",2020-04-20,2,0,1,0,3,3,66.6666666666667
"44",2020-04-21,0,0,6,0,6,6,0
"45",2020-04-22,0,0,5,0,5,5,0
"46",2020-04-23,0,0,3,0,3,3,0
"47",2020-04-24,0,0,2,0,2,2,0
"48",2020-04-25,1,0,1,0,2,2,50
"49",2020-04-26,0,0,1,0,1,1,0
"50",2020-04-27,0,0,1,0,1,1,0
"51",2020-04-28,2,0,2,0,4,4,50
"52",2020-04-29,0,0,4,0,4,4,0
"53",2020-04-30,0,0,1,0,1,1,0
"54",2020-05-02,0,0,3,0,3,3,0
"55",2020-05-03,0,0,1,0,1,1,0
"56",2020-05-04,0,0,3,0,3,3,0
"57",2020-05-05,2,0,0,0,2,2,100
"58",2020-05-06,0,0,2,0,2,2,0
"59",2020-05-08,0,0,2,0,2,2,0
"60",2020-05-09,0,0,1,0,1,1,0
"61",2020-05-10,3,0,0,0,3,3,100
