DateAdded,RiskCopy,CountyReporting,TravelLabel,TravelStatus,DateAddedCopy,Risk,BigIslandCnt,OahuCnt,KauaiCnt,MauiCnt,Count,TotNumber
3/2/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/2/2020,Travel-Associated (Resident),0,0,0,1,1,1
3/5/2020,Travel-Associated (Non-Resident),Honolulu,Travel History,Travel History,3/5/2020,Travel-Associated (Non-Resident),0,1,0,0,1,1
3/8/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/8/2020,Travel-Associated (Resident),0,1,0,0,1,1
3/9/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/9/2020,Community-Associated,0,1,0,0,1,1
3/13/2020,Travel-Associated (Non-Resident),Kauai,Travel History,Travel History,3/13/2020,Travel-Associated (Non-Resident),0,0,2,0,2,2
3/14/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/14/2020,Travel-Associated (Resident),0,3,0,0,3,3
3/14/2020,Travel-Associated (Non-Resident),Maui,Travel History,Travel History,3/14/2020,Travel-Associated (Non-Resident),0,0,0,1,1,1
3/14/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/14/2020,Travel-Associated (Resident),0,0,0,1,1,1
3/15/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/15/2020,Travel-Associated (Resident),0,2,0,0,2,2
3/15/2020,Travel-Associated (Non-Resident),Maui,Travel History,Travel History,3/15/2020,Travel-Associated (Non-Resident),0,0,0,1,1,1
3/16/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/16/2020,Community-Associated,0,1,0,0,1,1
3/16/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/16/2020,Travel-Associated (Resident),0,1,0,0,1,1
3/17/2020,Travel-Associated (Non-Resident),Hawaii,Travel History,Travel History,3/17/2020,Travel-Associated (Non-Resident),1,0,0,0,1,1
3/17/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/17/2020,Travel-Associated (Resident),0,4,0,0,4,4
3/17/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/17/2020,Travel-Associated (Resident),0,0,0,1,1,1
3/18/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/18/2020,Community-Associated,0,1,0,0,1,1
3/18/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/18/2020,Travel-Associated (Resident),0,5,0,0,5,5
3/18/2020,Community-Associated,Maui,No Travel History,No Travel History,3/18/2020,Community-Associated,0,0,0,1,1,1
3/18/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/18/2020,Travel-Associated (Resident),0,0,0,2,2,2
3/19/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/19/2020,Community-Associated,0,2,0,0,2,2
3/19/2020,Travel-Associated (Non-Resident),Honolulu,Travel History,Travel History,3/19/2020,Travel-Associated (Non-Resident),0,1,0,0,1,1
3/19/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/19/2020,Travel-Associated (Resident),0,14,0,0,14,14
3/19/2020,Travel-Associated (Resident),Kauai,Travel History,Travel History,3/19/2020,Travel-Associated (Resident),0,0,1,0,1,1
3/20/2020,Travel-Associated (Non-Resident),Hawaii,Travel History,Travel History,3/20/2020,Travel-Associated (Non-Resident),1,0,0,0,1,1
3/20/2020,Travel-Associated (Resident),Hawaii,Travel History,Travel History,3/20/2020,Travel-Associated (Resident),1,0,0,0,1,1
3/20/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/20/2020,Community-Associated,0,2,0,0,2,2
3/20/2020,Travel-Associated (Non-Resident),Honolulu,Travel History,Travel History,3/20/2020,Travel-Associated (Non-Resident),0,1,0,0,1,1
3/20/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/20/2020,Travel-Associated (Resident),0,4,0,0,4,4
3/20/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/20/2020,Travel-Associated (Resident),0,0,0,2,2,2
3/21/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/21/2020,Community-Associated,0,1,0,0,1,1
3/21/2020,Travel-Associated (Non-Resident),Honolulu,Travel History,Travel History,3/21/2020,Travel-Associated (Non-Resident),0,1,0,0,1,1
3/21/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/21/2020,Travel-Associated (Resident),0,6,0,0,6,6
3/21/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/21/2020,Travel-Associated (Resident),0,0,0,2,2,2
3/22/2020,Travel-Associated (Non-Resident),Hawaii,Travel History,Travel History,3/22/2020,Travel-Associated (Non-Resident),1,0,0,0,1,1
3/22/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/22/2020,Community-Associated,0,3,0,0,3,3
3/22/2020,Travel-Associated (Non-Resident),Honolulu,Travel History,Travel History,3/22/2020,Travel-Associated (Non-Resident),0,1,0,0,1,1
3/22/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/22/2020,Travel-Associated (Resident),0,12,0,0,12,12
3/22/2020,Travel-Associated (Non-Resident),Kauai,Travel History,Travel History,3/22/2020,Travel-Associated (Non-Resident),0,0,1,0,1,1
3/22/2020,Community-Associated,Maui,No Travel History,No Travel History,3/22/2020,Community-Associated,0,0,0,1,1,1
3/22/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/22/2020,Travel-Associated (Resident),0,0,0,1,1,1
3/23/2020,Travel-Associated (Non-Resident),Hawaii,Travel History,Travel History,3/23/2020,Travel-Associated (Non-Resident),1,0,0,0,1,1
3/23/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/23/2020,Community-Associated,0,2,0,0,2,2
3/23/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/23/2020,Travel-Associated (Resident),0,11,0,0,11,11
3/23/2020,Travel-Associated (Non-Resident),Maui,Travel History,Travel History,3/23/2020,Travel-Associated (Non-Resident),0,0,0,1,1,1
3/24/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/24/2020,Travel-Associated (Resident),0,7,0,0,7,7
3/24/2020,Travel-Associated (Non-Resident),Kauai,Travel History,Travel History,3/24/2020,Travel-Associated (Non-Resident),0,0,1,0,1,1
3/24/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/24/2020,Travel-Associated (Resident),0,0,0,1,1,1
3/25/2020,Travel-Associated (Resident),Hawaii,Travel History,Travel History,3/25/2020,Travel-Associated (Resident),1,0,0,0,1,1
3/25/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/25/2020,Community-Associated,0,4,0,0,4,4
3/25/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/25/2020,Travel-Associated (Resident),0,12,0,0,12,12
3/25/2020,Community-Associated,Maui,No Travel History,No Travel History,3/25/2020,Community-Associated,0,0,0,1,1,1
3/25/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/25/2020,Travel-Associated (Resident),0,0,0,1,1,1
3/26/2020,Community-Associated,Hawaii,No Travel History,No Travel History,3/26/2020,Community-Associated,1,0,0,0,1,1
3/26/2020,Travel-Associated (Resident),Hawaii,Travel History,Travel History,3/26/2020,Travel-Associated (Resident),1,0,0,0,1,1
3/26/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/26/2020,Community-Associated,0,4,0,0,4,4
3/26/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/26/2020,Travel-Associated (Resident),0,9,0,0,9,9
3/26/2020,Community-Associated,Maui,No Travel History,No Travel History,3/26/2020,Community-Associated,0,0,0,2,2,2
3/26/2020,Travel-Associated (Non-Resident),Maui,Travel History,Travel History,3/26/2020,Travel-Associated (Non-Resident),0,0,0,1,1,1
3/27/2020,Community-Associated,Hawaii,No Travel History,No Travel History,3/27/2020,Community-Associated,1,0,0,0,1,1
3/27/2020,Travel-Associated (Resident),Hawaii,Travel History,Travel History,3/27/2020,Travel-Associated (Resident),4,0,0,0,4,4
3/27/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/27/2020,Community-Associated,0,8,0,0,8,8
3/27/2020,Travel-Associated (Non-Resident),Honolulu,Travel History,Travel History,3/27/2020,Travel-Associated (Non-Resident),0,1,0,0,1,1
3/27/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/27/2020,Travel-Associated (Resident),0,16,0,0,16,16
3/27/2020,Travel-Associated (Non-Resident),Kauai,Travel History,Travel History,3/27/2020,Travel-Associated (Non-Resident),0,0,1,0,1,1
3/27/2020,Travel-Associated (Resident),Kauai,Travel History,Travel History,3/27/2020,Travel-Associated (Resident),0,0,5,0,5,5
3/27/2020,Community-Associated,Maui,No Travel History,No Travel History,3/27/2020,Community-Associated,0,0,0,1,1,1
3/27/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/27/2020,Travel-Associated (Resident),0,0,0,1,1,1
3/28/2020,Travel-Associated (Non-Resident),Hawaii,Travel History,Travel History,3/28/2020,Travel-Associated (Non-Resident),1,0,0,0,1,1
3/28/2020,Travel-Associated (Resident),Hawaii,Travel History,Travel History,3/28/2020,Travel-Associated (Resident),4,0,0,0,4,4
3/28/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/28/2020,Community-Associated,0,7,0,0,7,7
3/28/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/28/2020,Travel-Associated (Resident),0,10,0,0,10,10
3/28/2020,Travel-Associated (Resident),Kauai,Travel History,Travel History,3/28/2020,Travel-Associated (Resident),0,0,1,0,1,1
3/28/2020,Travel-Associated (Non-Resident),Maui,Travel History,Travel History,3/28/2020,Travel-Associated (Non-Resident),0,0,0,1,1,1
3/28/2020,Travel-Associated (Resident),Maui,Travel History,Travel History,3/28/2020,Travel-Associated (Resident),0,0,0,5,5,5
3/29/2020,Travel-Associated (Resident),Hawaii,Travel History,Travel History,3/29/2020,Travel-Associated (Resident),1,0,0,0,1,1
3/29/2020,Community-Associated,Honolulu,No Travel History,No Travel History,3/29/2020,Community-Associated,0,9,0,0,9,9
3/29/2020,Travel-Associated (Non-Resident),Honolulu,Travel History,Travel History,3/29/2020,Travel-Associated (Non-Resident),0,1,0,0,1,1
3/29/2020,Travel-Associated (Resident),Honolulu,Travel History,Travel History,3/29/2020,Travel-Associated (Resident),0,15,0,0,15,15
3/29/2020,Community-Associated,Maui,No Travel History,No Travel History,3/29/2020,Community-Associated,0,0,0,2,2,2
