Indicator,Market,Destination,Units,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08
Visitor arrivals,Total,Statewide,persons,"817,600","780,827","928,849","849,398","847,396","947,112","995,210","926,417","736,155","796,191","809,076","952,441","857,066","823,910","433,167","4,985","10,013","17,733","22,574","23,356","18,409","76,691","183,779","236,575","171,976","235,283","439,785","484,071","629,681","791,053","879,551","722,393"
Visitor arrivals,Air total,Statewide,persons,"805,567","764,513","917,026","824,610","836,058","946,373","995,210","926,417","718,042","775,675","792,547","941,128","846,137","808,824","428,997","4,985","10,013","17,733","22,574","23,356","18,409","76,691","183,779","236,575","171,976","235,283","439,785","484,071","629,681","791,053","879,551","722,393"
Visitor arrivals,"Air total, domestic",Statewide,persons,"524,706","510,145","647,170","578,159","622,725","715,089","740,482","662,488","484,588","548,178","545,667","674,410","575,464","574,272","333,722","4,567","9,806","17,095","21,568","22,347","17,541","75,659","182,866","230,782","167,885","233,623","437,949","481,794","626,948","787,405","874,289","713,523"
Visitor arrivals,"Air total, int'l",Statewide,persons,"280,861","254,368","269,856","246,451","213,333","231,284","254,728","263,929","233,454","227,497","246,880","266,718","270,673","234,552","95,275",418,207,638,"1,006","1,009",868,"1,032",913,"5,793","4,091","1,660","1,836","2,277","2,733","3,648","5,262","8,870"
Visitor arrivals,US Total,Statewide,persons,"502,908","489,011","624,697","547,688","587,188","693,181","706,174","620,409","438,993","502,082","525,630","633,878","553,930","546,820","324,549","4,453","9,334","16,198","20,261","20,859","16,311","73,052","177,654","223,906","162,808","228,760","429,279","471,336","612,457","769,178","851,450","692,305"
Visitor arrivals,US West,Statewide,persons,"317,655","312,235","399,049","388,573","387,844","452,958","462,676","420,750","305,808","354,007","375,244","418,520","354,115","352,707","204,978","3,143","6,430","10,465","12,798","13,190","10,170","53,452","137,452","152,276","112,020","164,861","296,117","352,147","418,956","521,796","578,629","469,181"
Visitor arrivals,US East,Statewide,persons,"185,253","176,777","225,648","159,115","199,344","240,223","243,498","199,659","133,185","148,075","150,386","215,358","199,815","194,113","119,571","1,310","2,904","5,733","7,462","7,668","6,141","19,600","40,202","71,630","50,788","63,899","133,162","119,189","193,501","247,382","272,821","223,124"
Visitor arrivals,Japan,Statewide,persons,"120,418","120,653","133,858","119,487","113,226","126,592","134,587","160,728","143,928","134,557","131,536","136,635","117,995","124,122","44,133",20,16,42,53,334,86,161,451,"1,724","1,165",695,"1,051","1,367","1,312","1,859","2,817","3,005"
Visitor arrivals,Canada,Statewide,persons,"69,687","66,590","76,913","56,749","26,424","19,172","26,939","28,672","21,928","32,250","50,598","64,182","66,442","65,352","26,885",9,22,59,93,102,173,389,802,"4,063","2,898",493,326,527,564,627,"1,999","6,154"
Visitor arrivals,Europe,Statewide,persons,"8,022","8,282","8,139","11,260","10,332","8,940","16,059","18,525","14,107","14,892","9,097","10,252","7,629","8,574","4,067",43,31,50,83,97,68,154,331,424,334,317,539,706,942,"1,003","1,203","1,536"
Visitor arrivals,United Kingdom,Statewide,persons,"2,671","2,397","2,685","3,886","3,399","2,760","4,506","4,957","4,534","4,062","2,515","2,849","2,688","2,407","1,417",17,19,21,41,31,30,57,143,177,142,168,307,368,511,553,638,646
Visitor arrivals,France,Statewide,persons,"1,421","1,394","1,062","1,753","1,593","1,524","3,214","3,610","1,657","2,815","1,629","2,251","1,350","1,539",555,11,2,6,9,16,6,20,62,54,25,39,51,61,92,84,56,142
Visitor arrivals,Germany,Statewide,persons,"2,575","3,224","3,137","3,737","3,745","2,928","4,649","4,819","5,263","5,641","3,423","3,158","2,409","3,224","1,517",5,6,7,15,34,16,35,67,90,78,49,82,103,123,147,192,407
Visitor arrivals,Italy,Statewide,persons,508,482,400,589,508,734,"1,173","3,856","1,114",868,544,747,426,466,138,2,2,3,8,4,1,15,23,22,23,26,17,33,55,27,62,112
Visitor arrivals,Switzerland,Statewide,persons,847,785,855,"1,296","1,087",994,"2,517","1,283","1,540","1,507",986,"1,247",756,938,439,7,2,12,10,12,14,26,35,83,67,36,83,141,161,192,255,229
Visitor arrivals,Oceania,Statewide,persons,"31,308","17,056","20,234","30,801","33,773","32,705","37,431","31,561","43,661","33,174","23,064","28,784","26,830","15,233","8,131",9,25,40,52,40,45,59,117,130,122,55,143,149,221,278,352,407
Visitor arrivals,Australia,Statewide,persons,"26,465","14,366","16,530","23,445","26,361","25,543","27,177","23,995","35,323","26,858","18,725","23,206","21,929","12,887","6,346",2,2,21,19,14,18,32,65,64,48,26,29,46,64,52,96,114
Visitor arrivals,New Zealand,Statewide,persons,"4,844","2,689","3,704","7,356","7,412","7,162","10,254","7,565","8,338","6,316","4,338","5,577","4,901","2,346","1,784",6,23,19,33,27,28,26,52,65,74,30,114,103,157,226,256,293
Visitor arrivals,Other Asia,Statewide,persons,"41,595","35,899","22,075","23,476","30,907","28,722","30,931","28,853","25,935","27,739","26,151","32,397","41,568","21,355","3,189",37,60,65,68,139,130,168,370,758,402,373,580,785,"1,487","1,737","2,073","2,023"
Visitor arrivals,China,Statewide,persons,"10,944","11,604","6,740","6,502","8,231","9,119","8,562","7,924","6,179","5,039","4,258","6,980","12,445","2,151",467,11,18,29,20,44,27,73,188,404,98,74,135,159,655,572,447,498
Visitor arrivals,Hong Kong,Statewide,persons,347,309,250,337,384,391,579,325,260,266,254,415,500,244,114,5,4,3,18,13,24,30,36,77,51,30,84,105,193,218,274,205
Visitor arrivals,Korea,Statewide,persons,"27,907","21,871","13,353","14,896","16,035","16,535","19,109","18,527","17,456","20,261","20,272","22,833","25,956","18,063","2,302",16,25,25,17,67,69,52,92,201,230,242,306,435,494,722,"1,108","1,059"
Visitor arrivals,Singapore,Statewide,persons,537,435,326,455,458,498,379,293,294,396,376,736,412,222,109,0,5,3,6,7,6,9,16,43,12,16,28,28,55,107,109,106
Visitor arrivals,Taiwan,Statewide,persons,"1,859","1,680","1,405","1,286","5,800","2,180","2,301","1,784","1,746","1,776",990,"1,434","2,255",675,197,5,7,4,8,8,5,5,38,33,12,11,26,58,90,117,135,155
Visitor arrivals,Latin America,Statewide,persons,"2,525","1,728","1,565","2,888","2,599","1,471","2,831","1,833","1,981","2,062","1,272","2,588","2,342","1,842",881,7,13,40,108,66,66,118,239,490,281,193,365,434,689,791,"1,199",985
Visitor arrivals,Argentina,Statewide,persons,768,496,360,393,456,280,377,289,394,361,188,373,675,551,147,1,1,3,9,6,3,28,54,146,151,90,77,95,105,121,161,144
Visitor arrivals,Brazil,Statewide,persons,"1,150",726,654,"1,148","1,348",592,803,627,734,885,494,"1,155",985,784,310,2,3,6,3,4,0,31,53,85,18,29,42,36,115,91,141,140
Visitor arrivals,Mexico,Statewide,persons,608,507,551,"1,347",795,600,"1,651",917,852,816,590,"1,060",682,507,424,5,9,31,96,57,63,59,131,260,111,74,246,304,468,579,897,701
Visitor arrivals,Visitors by ship,Statewide,persons,"12,033","16,315","11,824","24,787","11,338",738,0,0,"18,114","20,516","16,529","11,313","10,930","15,086","4,169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visitor arrivals (SA),Air total,Statewide,persons,"827,950","823,464","844,898","856,889","857,715","853,720","849,782","885,997","836,693","853,254","850,997","885,743","871,579","873,551","413,626","4,944","10,267","15,879","19,090","22,476","21,511","84,423","196,627","224,090","177,506","254,576","417,058","488,184","645,498","704,350","738,469","699,493"
Visitor arrivals (SA),US Total,Statewide,persons,"547,276","535,633","573,571","553,627","577,579","577,066","573,431","600,214","554,513","573,575","576,083","606,092","607,408","592,824","299,319","4,467","9,171","13,463","16,353","20,212","20,643","83,577","194,313","216,193","179,849","245,632","397,688","469,871","601,737","638,818","683,897","672,791"
Visitor arrivals (SA),US West,Statewide,persons,"365,181","365,068","384,247","373,790","388,695","385,583","372,699","408,919","375,782","388,942","381,930","404,138","406,745","411,614","198,739","3,000","6,458","8,891","10,128","12,975","12,523","58,736","138,861","148,355","128,706","192,377","289,426","333,557","422,037","442,982","455,621","462,366"
Visitor arrivals (SA),US East,Statewide,persons,"178,816","178,285","192,306","184,023","177,223","199,450","189,980","203,630","180,293","184,822","195,422","195,484","193,810","193,917","103,064","1,521","2,466","4,849","5,788","7,883","8,315","24,546","52,772","64,946","49,430","63,263","116,592","138,439","160,476","209,912","212,178","229,001"
Visitor arrivals (SA),Japan,Statewide,persons,"132,745","128,443","124,968","141,390","128,587","131,458","131,840","126,433","129,314","131,079","134,185","137,106","131,094","133,820","40,851",24,19,43,52,262,76,156,460,"1,731","1,294",748,960,"1,627","1,507","1,945","2,799","2,351"
Visitor arrivals (SA),Canada,Statewide,persons,"45,374","45,583","44,604","49,077","44,410","46,960","41,588","44,294","43,905","45,733","45,485","43,592","43,533","44,532","15,200",8,36,150,136,157,338,548,736,"2,797","1,900",336,182,473,958,"1,624","2,752","9,403"
Visitor days,Total,Statewide,days,"8,129,294","6,908,757","7,766,370","7,008,490","7,091,795","8,337,895","8,878,983","7,840,392","6,185,074","6,668,887","6,712,376","8,832,636","8,321,114","7,194,823","3,928,899","131,623","283,207","473,130","567,595","701,388","614,172","1,222,402","2,286,098","2,935,326","2,503,864","2,541,730","4,260,640","4,541,594","5,905,212","7,678,083","8,227,155","6,549,353"
Visitor days,Air total,Statewide,days,"8,076,194","6,843,755","7,716,825","6,885,015","7,035,855","8,334,138","8,878,983","7,840,392","6,089,617","6,577,024","6,635,121","8,779,507","8,272,732","7,121,132","3,907,993","131,623","283,207","473,130","567,595","701,388","614,172","1,222,402","2,286,098","2,935,326","2,503,864","2,541,730","4,260,640","4,541,594","5,905,212","7,678,083","8,227,155","6,549,353"
Visitor days,"Air total, domestic",Statewide,days,"5,608,716","4,778,006","5,639,153","4,960,376","5,494,077","6,666,332","6,877,424","5,765,397","4,353,655","4,931,639","4,832,847","6,627,463","5,955,461","5,294,515","3,117,379","124,681","280,436","466,756","544,765","689,658","605,128","1,208,179","2,267,152","2,841,108","2,394,198","2,507,170","4,226,001","4,502,015","5,853,892","7,612,882","8,133,197","6,420,695"
Visitor days,"Air total, int'l",Statewide,days,"2,467,478","2,065,749","2,077,672","1,924,639","1,541,778","1,667,807","2,001,559","2,074,995","1,735,962","1,645,385","1,802,274","2,152,045","2,317,271","1,826,618","790,614","6,943","2,771","6,373","22,830","11,730","9,044","14,223","18,946","94,218","109,666","34,559","34,639","39,579","51,320","65,201","93,959","128,658"
Visitor days,US Total,Statewide,days,"5,233,817","4,489,304","5,303,253","4,625,088","5,102,945","6,379,485","6,414,386","5,302,796","3,866,376","4,411,181","4,542,164","6,116,014","5,593,423","4,934,444","2,942,430","118,210","263,071","436,838","498,508","627,608","550,886","1,146,086","2,159,616","2,727,737","2,298,135","2,442,846","4,131,892","4,388,587","5,697,083","7,416,354","7,888,819","6,166,698"
Visitor days,US West,Statewide,days,"3,092,709","2,712,365","3,293,738","3,191,328","3,244,463","4,039,914","4,054,572","3,460,125","2,602,158","3,034,447","3,156,032","3,870,840","3,348,168","3,027,825","1,800,721","76,888","164,614","267,230","293,668","390,880","329,968","816,151","1,617,663","1,788,024","1,471,794","1,686,971","2,804,575","3,215,623","3,774,969","4,873,202","5,176,252","4,007,267"
Visitor days,US East,Statewide,days,"2,141,107","1,776,939","2,009,515","1,433,760","1,858,483","2,339,571","2,359,815","1,842,671","1,264,218","1,376,734","1,386,132","2,245,174","2,245,255","1,906,619","1,141,709","41,322","98,457","169,607","204,840","236,728","220,917","329,935","541,953","939,713","826,341","755,876","1,327,317","1,172,963","1,922,114","2,543,152","2,712,566","2,159,431"
Visitor days,Japan,Statewide,days,"723,353","683,416","778,887","701,124","666,703","732,556","797,943","1,037,198","850,296","783,053","741,037","811,203","704,027","694,451","274,118",664,676,"2,244","2,183","7,958","1,768","3,384","9,335","19,035","23,587","12,051","17,545","21,184","21,001","33,103","50,980","46,828"
Visitor days,Canada,Statewide,days,"990,828","832,744","886,726","651,790","284,045","225,768","317,007","321,101","254,953","377,719","596,917","814,896","928,346","803,609","357,332",297,627,"2,993","3,288","6,538","11,327","19,011","43,354","88,847","87,001","13,665","8,908","12,292","10,996","11,521","31,256","77,518"
Visitor days,Europe,Statewide,days,"118,507","107,803","101,873","139,502","126,150","115,763","215,048","230,464","185,901","185,869","114,317","138,993","96,741","111,845","54,810",706,583,"1,064","2,074","4,957","3,056","3,809","8,166","8,677","8,879","5,245","7,170","9,617","11,676","14,488","17,995","33,427"
Visitor days,United Kingdom,Statewide,days,"30,947","24,144","26,116","43,540","34,524","31,152","48,976","50,176","49,513","40,770","24,652","32,376","28,423","24,232","15,156",434,352,314,971,"1,838",840,"1,354","2,633","2,306","2,805","2,300","3,274","3,486","5,238","5,805","7,593","7,052"
Visitor days,France,Statewide,days,"23,051","17,786","11,231","18,898","12,548","18,051","39,661","43,625","20,226","31,074","17,639","24,205","12,538","20,281","4,494",118,20,54,139,346,494,324,"1,005",821,585,704,600,818,"1,182","1,259",952,"2,798"
Visitor days,Germany,Statewide,days,"40,775","45,432","44,836","49,413","55,392","41,079","68,758","67,777","76,617","82,022","48,892","51,679","36,152","45,616","25,334",80,119,281,538,"2,455","1,001",828,"2,163","3,042","2,721",898,"1,649","1,822","1,881","2,988","4,794","16,099"
Visitor days,Italy,Statewide,days,"6,189","8,259","4,220","6,137","5,170","8,034","14,023","47,866","13,094","9,039","6,874","8,577","5,585","5,767","1,755",4,31,74,214,54,23,533,856,459,974,672,172,471,606,301,931,"1,950"
Visitor days,Switzerland,Statewide,days,"17,546","12,182","15,471","21,515","18,516","17,447","43,631","21,019","26,450","22,964","16,259","22,156","14,043","15,949","8,071",68,60,341,212,264,698,770,"1,509","2,049","1,794",671,"1,475","3,021","2,770","4,136","3,724","5,527"
