"","DateAdded","RiskCopy","CountyReporting","TravelLabel","TravelStatus","DateAddedCopy","Risk","BigIslandCnt","OahuCnt","KauaiCnt","MauiCnt","Count","TotNumber"
"1",2020-03-02,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-02,"Travel-Associated (Resident)",0,0,0,1,1,1
"2",2020-03-05,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-03-05,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"3",2020-03-08,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-08,"Travel-Associated (Resident)",0,1,0,0,1,1
"4",2020-03-09,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-09,"Community-Associated",0,1,0,0,1,1
"5",2020-03-13,"Travel-Associated (Non-Resident)","Kauai","Travel History","Travel History",2020-03-13,"Travel-Associated (Non-Resident)",0,0,2,0,2,2
"6",2020-03-14,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-14,"Travel-Associated (Resident)",0,3,0,0,3,3
"7",2020-03-14,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-03-14,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"8",2020-03-14,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-14,"Travel-Associated (Resident)",0,0,0,1,1,1
"9",2020-03-15,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-15,"Travel-Associated (Resident)",0,2,0,0,2,2
"10",2020-03-15,"Travel-Associated (Non-Resident)","Maui","Travel History","Travel History",2020-03-15,"Travel-Associated (Non-Resident)",0,0,0,1,1,1
"11",2020-03-16,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-16,"Community-Associated",0,1,0,0,1,1
"12",2020-03-16,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-16,"Travel-Associated (Resident)",0,1,0,0,1,1
"13",2020-03-17,"Travel-Associated (Non-Resident)","Hawaii","Travel History","Travel History",2020-03-17,"Travel-Associated (Non-Resident)",1,0,0,0,1,1
"14",2020-03-17,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-17,"Travel-Associated (Resident)",0,4,0,0,4,4
"15",2020-03-17,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-17,"Travel-Associated (Resident)",0,0,0,1,1,1
"16",2020-03-18,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-18,"Community-Associated",0,1,0,0,1,1
"17",2020-03-18,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-18,"Travel-Associated (Resident)",0,5,0,0,5,5
"18",2020-03-18,"Community-Associated","Maui","No Travel History","No Travel History",2020-03-18,"Community-Associated",0,0,0,1,1,1
"19",2020-03-18,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-18,"Travel-Associated (Resident)",0,0,0,2,2,2
"20",2020-03-19,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-19,"Community-Associated",0,2,0,0,2,2
"21",2020-03-19,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-03-19,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"22",2020-03-19,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-19,"Travel-Associated (Resident)",0,14,0,0,14,14
"23",2020-03-19,"Travel-Associated (Resident)","Kauai","Travel History","Travel History",2020-03-19,"Travel-Associated (Resident)",0,0,1,0,1,1
"24",2020-03-20,"Travel-Associated (Non-Resident)","Hawaii","Travel History","Travel History",2020-03-20,"Travel-Associated (Non-Resident)",1,0,0,0,1,1
"25",2020-03-20,"Travel-Associated (Resident)","Hawaii","Travel History","Travel History",2020-03-20,"Travel-Associated (Resident)",1,0,0,0,1,1
"26",2020-03-20,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-20,"Community-Associated",0,2,0,0,2,2
"27",2020-03-20,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-03-20,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"28",2020-03-20,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-20,"Travel-Associated (Resident)",0,4,0,0,4,4
"29",2020-03-20,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-20,"Travel-Associated (Resident)",0,0,0,2,2,2
"30",2020-03-21,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-03-21,"Community-Associated",0,1,0,0,1,1
"31",2020-03-21,"Travel-Associated (Non-Resident)","Honolulu","Travel History","Travel History",2020-03-21,"Travel-Associated (Non-Resident)",0,1,0,0,1,1
"32",2020-03-21,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-03-21,"Travel-Associated (Resident)",0,6,0,0,6,6
"33",2020-03-21,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-03-21,"Travel-Associated (Resident)",0,0,0,2,2,2
