"","ArrivalDt","ArrivalDtMD","TotalCOV","Total2019"
"1",2020-03-01,"03-01",28976,30455
"2",2020-03-02,"03-02",24512,32085
"3",2020-03-03,"03-03",22799,27386
"4",2020-03-04,"03-04",24425,26232
"5",2020-03-05,"03-05",28729,24109
"6",2020-03-06,"03-06",28980,27007
"7",2020-03-07,"03-07",31050,31278
"8",2020-03-08,"03-08",26388,32485
"9",2020-03-09,"03-09",23730,34038
"10",2020-03-10,"03-10",22270,30369
"11",2020-03-11,"03-11",23790,26768
"12",2020-03-12,"03-12",28674,25873
"13",2020-03-13,"03-13",28412,27364
"14",2020-03-14,"03-14",28288,32082
"15",2020-03-15,"03-15",23882,34256
"16",2020-03-16,"03-16",20410,35811
"17",2020-03-17,"03-17",19181,32398
"18",2020-03-18,"03-18",14042,30475
"19",2020-03-19,"03-19",10571,29361
"20",2020-03-20,"03-20",8293,30692
"21",2020-03-21,"03-21",6478,33823
"22",2020-03-22,"03-22",5514,35739
"23",2020-03-23,"03-23",3880,38572
"24",2020-03-24,"03-24",3691,35930
"25",2020-03-25,"03-25",3158,34282
"26",2020-03-26,"03-26",1033,32330
"27",2020-03-27,"03-27",985,31296
"28",2020-03-28,"03-28",808,33679
"29",2020-03-29,"03-29",547,34986
"30",2020-03-30,"03-30",593,37557
"31",2020-03-31,"03-31",301,33318
"32",2020-04-01,"04-01",453,32381
"33",2020-04-02,"04-02",249,26742
"34",2020-04-03,"04-03",404,27620
"35",2020-04-04,"04-04",395,28202
"36",2020-04-05,"04-05",359,29044
"37",2020-04-06,"04-06",333,31683
"38",2020-04-07,"04-07",424,30336
"39",2020-04-08,"04-08",417,27854
"40",2020-04-09,"04-09",543,24159
"41",2020-04-10,"04-10",330,27889
"42",2020-04-11,"04-11",271,30732
"43",2020-04-12,"04-12",319,31193
"44",2020-04-13,"04-13",609,33486
"45",2020-04-14,"04-14",438,32379
"46",2020-04-15,"04-15",604,28938
"47",2020-04-16,"04-16",330,26672
"48",2020-04-17,"04-17",342,29324
"49",2020-04-18,"04-18",373,31929
"50",2020-04-19,"04-19",336,32114
"51",2020-04-20,"04-20",313,31848
"52",2020-04-21,"04-21",360,28146
"53",2020-04-22,"04-22",318,29417
"54",2020-04-23,"04-23",368,26407
"55",2020-04-24,"04-24",330,26734
"56",2020-04-25,"04-25",386,30291
"57",2020-04-26,"04-26",401,27978
"58",2020-04-27,"04-27",363,31491
"59",2020-04-28,"04-28",357,28498
"60",2020-04-29,"04-29",460,29311
"61",2020-04-30,"04-30",451,28882
"62",2020-05-01,"05-01",511,30404
"63",2020-05-02,"05-02",637,31244
"64",2020-05-03,"05-03",557,31270
"65",2020-05-04,"05-04",644,32128
"66",2020-05-05,"05-05",581,27896
"67",2020-05-06,"05-06",478,27564
"68",2020-05-07,"05-07",579,26879
"69",2020-05-08,"05-08",615,28475
"70",2020-05-09,"05-09",669,30023
"71",2020-05-10,"05-10",658,31004
"72",2020-05-11,"05-11",698,31736
"73",2020-05-12,"05-12",746,27814
"74",2020-05-13,"05-13",651,30041
"75",2020-05-14,"05-14",769,29615
"76",2020-05-15,"05-15",844,29396
"77",2020-05-16,"05-16",833,31216
"78",2020-05-17,"05-17",899,32139
"79",2020-05-18,"05-18",1060,33284
"80",2020-05-19,"05-19",916,30640
"81",2020-05-20,"05-20",1042,31694
"82",2020-05-21,"05-21",965,29671
"83",2020-05-22,"05-22",753,32900
"84",2020-05-23,"05-23",912,33512
"85",2020-05-24,"05-24",838,34787
"86",2020-05-25,"05-25",870,35464
"87",2020-05-26,"05-26",763,32857
"88",2020-05-27,"05-27",873,30837
"89",2020-05-28,"05-28",899,28579
"90",2020-05-29,"05-29",928,29530
"91",2020-05-30,"05-30",1098,32386
"92",2020-05-31,"05-31",1228,33821
"93",2020-06-01,"06-01",1408,35193
"94",2020-06-02,"06-02",1377,33338
"95",2020-06-03,"06-03",1301,32677
"96",2020-06-04,"06-04",1444,31237
"97",2020-06-05,"06-05",1270,31424
"98",2020-06-06,"06-06",1479,35567
"99",2020-06-07,"06-07",1636,36692
"100",2020-06-08,"06-08",1580,37181
"101",2020-06-09,"06-09",1382,34946
"102",2020-06-10,"06-10",1284,35102
"103",2020-06-11,"06-11",1496,33473
"104",2020-06-12,"06-12",1126,34522
"105",2020-06-13,"06-13",1900,35469
"106",2020-06-14,"06-14",1648,37218
"107",2020-06-15,"06-15",1575,37374
"108",2020-06-16,"06-16",1474,37478
"109",2020-06-17,"06-17",1258,33892
"110",2020-06-18,"06-18",1575,34709
"111",2020-06-19,"06-19",1328,36283
"112",2020-06-20,"06-20",1475,36019
"113",2020-06-21,"06-21",1340,36911
"114",2020-06-22,"06-22",1534,38087
"115",2020-06-23,"06-23",1340,37851
"116",2020-06-24,"06-24",1365,35727
"117",2020-06-25,"06-25",1513,34322
"118",2020-06-26,"06-26",1159,36507
"119",2020-06-27,"06-27",1717,36694
"120",2020-06-28,"06-28",1432,38116
"121",2020-06-29,"06-29",1517,38473
"122",2020-06-30,"06-30",1654,38723
"123",2020-07-01,"07-01",1982,36785
"124",2020-07-02,"07-02",2347,36091
"125",2020-07-03,"07-03",2129,37315
"126",2020-07-04,"07-04",1801,36262
"127",2020-07-05,"07-05",1780,37063
"128",2020-07-06,"07-06",2402,37547
"129",2020-07-07,"07-07",2395,36542
"130",2020-07-08,"07-08",2182,36127
"131",2020-07-09,"07-09",2538,35148
"132",2020-07-10,"07-10",2098,35769
"133",2020-07-11,"07-11",2047,34507
"134",2020-07-12,"07-12",1943,36396
"135",2020-07-13,"07-13",2310,37420
"136",2020-07-14,"07-14",2050,37847
"137",2020-07-15,"07-15",2079,35426
"138",2020-07-16,"07-16",2318,34187
"139",2020-07-17,"07-17",1686,36541
"140",2020-07-18,"07-18",1838,34984
"141",2020-07-19,"07-19",1872,37504
"142",2020-07-20,"07-20",2325,38455
"143",2020-07-21,"07-21",1972,37400
"144",2020-07-22,"07-22",2071,36655
"145",2020-07-23,"07-23",1989,35240
"146",2020-07-24,"07-24",1702,36375
"147",2020-07-25,"07-25",1710,36924
"148",2020-07-26,"07-26",791,37549
"149",2020-07-27,"07-27",2315,39306
"150",2020-07-28,"07-28",1993,37893
"151",2020-07-29,"07-29",2086,37505
"152",2020-07-30,"07-30",2308,35344
"153",2020-07-31,"07-31",2384,35455
"154",2020-08-01,"08-01",3069,37095
"155",2020-08-02,"08-02",2696,37656
"156",2020-08-03,"08-03",3116,39389
"157",2020-08-04,"08-04",2628,37657
"158",2020-08-05,"08-05",2481,36635
"159",2020-08-06,"08-06",2814,34669
"160",2020-08-07,"08-07",1896,34945
"161",2020-08-08,"08-08",2020,35868
"162",2020-08-09,"08-09",2279,36596
"163",2020-08-10,"08-10",2701,38095
"164",2020-08-11,"08-11",2049,35557
"165",2020-08-12,"08-12",1771,34074
"166",2020-08-13,"08-13",1743,31569
"167",2020-08-14,"08-14",1800,32780
"168",2020-08-15,"08-15",2054,35272
"169",2020-08-16,"08-16",1924,34353
"170",2020-08-17,"08-17",1965,35854
"171",2020-08-18,"08-18",1810,32894
"172",2020-08-19,"08-19",1915,33652
"173",2020-08-20,"08-20",2447,28204
"174",2020-08-21,"08-21",1433,28965
"175",2020-08-22,"08-22",1779,31022
"176",2020-08-23,"08-23",1673,30476
"177",2020-08-24,"08-24",1790,32705
"178",2020-08-25,"08-25",1697,29346
"179",2020-08-26,"08-26",1540,27394
"180",2020-08-27,"08-27",1509,24095
"181",2020-08-28,"08-28",1267,27843
"182",2020-08-29,"08-29",1476,31854
"183",2020-08-30,"08-30",1711,34053
"184",2020-08-31,"08-31",2024,33804
"185",2020-09-01,"09-01",2517,29287
"186",2020-09-02,"09-02",2127,27852
"187",2020-09-03,"09-03",2152,25958
"188",2020-09-04,"09-04",1432,25691
"189",2020-09-05,"09-05",1680,26891
"190",2020-09-06,"09-06",1445,27913
"191",2020-09-07,"09-07",1878,29628
"192",2020-09-08,"09-08",1519,27983
"193",2020-09-09,"09-09",1626,26096
"194",2020-09-10,"09-10",1851,26467
"195",2020-09-11,"09-11",1348,25920
"196",2020-09-12,"09-12",1752,28095
"197",2020-09-13,"09-13",1688,28663
"198",2020-09-14,"09-14",2037,31056
"199",2020-09-15,"09-15",1813,28655
"200",2020-09-16,"09-16",1545,29554
"201",2020-09-17,"09-17",1613,26323
"202",2020-09-18,"09-18",1405,27215
"203",2020-09-19,"09-19",1620,28643
"204",2020-09-20,"09-20",1569,29555
"205",2020-09-21,"09-21",1872,30299
"206",2020-09-22,"09-22",1378,28239
"207",2020-09-23,"09-23",1526,29058
"208",2020-09-24,"09-24",1923,25906
"209",2020-09-25,"09-25",1464,25589
"210",2020-09-26,"09-26",1562,28633
"211",2020-09-27,"09-27",1568,28560
"212",2020-09-28,"09-28",1531,29695
"213",2020-09-29,"09-29",1732,27861
"214",2020-09-30,"09-30",1810,27872
"215",2020-10-01,"10-01",2527,29116
"216",2020-10-02,"10-02",1832,27787
"217",2020-10-03,"10-03",2015,30069
"218",2020-10-04,"10-04",1689,30838
"219",2020-10-05,"10-05",1750,33095
"220",2020-10-06,"10-06",1686,30420
"221",2020-10-07,"10-07",1483,29955
"222",2020-10-08,"10-08",1876,29232
"223",2020-10-09,"10-09",1619,30134
"224",2020-10-10,"10-10",1764,31051
"225",2020-10-11,"10-11",1753,31901
"226",2020-10-12,"10-12",1743,30123
"227",2020-10-13,"10-13",1635,31258
"228",2020-10-14,"10-14",1889,32813
"229",2020-10-15,"10-15",7598,29526
"230",2020-10-16,"10-16",7297,29639
"231",2020-10-17,"10-17",7719,31135
"232",2020-10-18,"10-18",6204,30648
"233",2020-10-19,"10-19",5084,32874
"234",2020-10-20,"10-20",4597,29562
"235",2020-10-21,"10-21",4535,29360
"236",2020-10-22,"10-22",5511,26990
"237",2020-10-23,"10-23",5302,27494
"238",2020-10-24,"10-24",5765,29664
"239",2020-10-25,"10-25",4503,28725
"240",2020-10-26,"10-26",4062,29423
"241",2020-10-27,"10-27",3572,26590
"242",2020-10-28,"10-28",4307,26188
"243",2020-10-29,"10-29",5103,24782
"244",2020-10-30,"10-30",5005,26647
"245",2020-10-31,"10-31",5808,27594
"246",2020-11-01,"11-01",6889,31052
"247",2020-11-02,"11-02",6611,32649
"248",2020-11-03,"11-03",5182,27894
"249",2020-11-04,"11-04",6884,27420
"250",2020-11-05,"11-05",7411,28098
"251",2020-11-06,"11-06",7679,28188
"252",2020-11-07,"11-07",8502,29906
"253",2020-11-08,"11-08",5750,30754
"254",2020-11-09,"11-09",6813,33204
"255",2020-11-10,"11-10",6176,26483
"256",2020-11-11,"11-11",7054,27439
"257",2020-11-12,"11-12",6361,25869
"258",2020-11-13,"11-13",6811,25141
"259",2020-11-14,"11-14",8736,27724
"260",2020-11-15,"11-15",6733,27351
"261",2020-11-16,"11-16",7266,29355
"262",2020-11-17,"11-17",6897,26527
"263",2020-11-18,"11-18",8391,26780
"264",2020-11-19,"11-19",9038,25698
"265",2020-11-20,"11-20",10834,28335
"266",2020-11-21,"11-21",12218,30222
"267",2020-11-22,"11-22",10208,32185
"268",2020-11-23,"11-23",9289,35840
"269",2020-11-24,"11-24",6595,32923
"270",2020-11-25,"11-25",7677,30858
"271",2020-11-26,"11-26",7507,29074
"272",2020-11-27,"11-27",6440,29614
"273",2020-11-28,"11-28",6641,30193
"274",2020-11-29,"11-29",6062,27922
"275",2020-11-30,"11-30",7762,29687
"276",2020-12-01,"12-01",8389,32384
"277",2020-12-02,"12-02",7676,29755
"278",2020-12-03,"12-03",8434,27903
"279",2020-12-04,"12-04",7223,27912
"280",2020-12-05,"12-05",8440,29480
"281",2020-12-06,"12-06",6302,28560
"282",2020-12-07,"12-07",6004,29514
"283",2020-12-08,"12-08",5022,26540
"284",2020-12-09,"12-09",6041,27030
"285",2020-12-10,"12-10",7614,26119
"286",2020-12-11,"12-11",7450,27295
"287",2020-12-12,"12-12",8921,29073
"288",2020-12-13,"12-13",7437,31311
"289",2020-12-14,"12-14",6691,34291
"290",2020-12-15,"12-15",6551,31368
"291",2020-12-16,"12-16",9008,30623
"292",2020-12-17,"12-17",10284,29632
"293",2020-12-18,"12-18",12036,34848
"294",2020-12-19,"12-19",14683,38174
"295",2020-12-20,"12-20",11783,40451
"296",2020-12-21,"12-21",11369,41436
"297",2020-12-22,"12-22",8998,41342
"298",2020-12-23,"12-23",11390,41487
"299",2020-12-24,"12-24",11766,40270
"300",2020-12-25,"12-25",10336,39095
"301",2020-12-26,"12-26",14440,39687
"302",2020-12-27,"12-27",11237,41409
"303",2020-12-28,"12-28",11238,41945
"304",2020-12-29,"12-29",11643,40025
"305",2020-12-30,"12-30",11717,39773
"306",2020-12-31,"12-31",9224,35040
"307",2021-01-01,"01-01",8588,33450
"308",2021-01-02,"01-02",10683,32922
"309",2021-01-03,"01-03",10514,36177
"310",2021-01-04,"01-04",10292,35193
"311",2021-01-05,"01-05",8066,36324
"312",2021-01-06,"01-06",8437,32685
"313",2021-01-07,"01-07",10060,30107
"314",2021-01-08,"01-08",7922,27018
"315",2021-01-09,"01-09",8679,27260
