"","Indicator","Market","Destination","Units","X2019.01","X2019.02","X2019.03","X2019.04","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08"
"1","Visitor arrivals","Total","Statewide","persons",817600,780827,928849,849398,847396,947112,995210,926417,736155,796191,809076,952441,857066,823910,433167,4985,10013,17733,22574,23356,18409,76691,183779,236575,171976,235283,439785,484071,629681,791053,879551,722393
"2","Visitor arrivals","Air total","Statewide","persons",805567,764513,917026,824610,836058,946373,995210,926417,718042,775675,792547,941128,846137,808824,428997,4985,10013,17733,22574,23356,18409,76691,183779,236575,171976,235283,439785,484071,629681,791053,879551,722393
"3","Visitor arrivals","Air total, domestic","Statewide","persons",524706,510145,647170,578159,622725,715089,740482,662488,484588,548178,545667,674410,575464,574272,333722,4567,9806,17095,21568,22347,17541,75659,182866,230782,167885,233623,437949,481794,626948,787405,874289,713523
"4","Visitor arrivals","Air total, int'l","Statewide","persons",280861,254368,269856,246451,213333,231284,254728,263929,233454,227497,246880,266718,270673,234552,95275,418,207,638,1006,1009,868,1032,913,5793,4091,1660,1836,2277,2733,3648,5262,8870
"5","Visitor arrivals","US Total","Statewide","persons",502908,489011,624697,547688,587188,693181,706174,620409,438993,502082,525630,633878,553930,546820,324549,4453,9334,16198,20261,20859,16311,73052,177654,223906,162808,228760,429279,471336,612457,769178,851450,692305
"6","Visitor arrivals","US West","Statewide","persons",317655,312235,399049,388573,387844,452958,462676,420750,305808,354007,375244,418520,354115,352707,204978,3143,6430,10465,12798,13190,10170,53452,137452,152276,112020,164861,296117,352147,418956,521796,578629,469181
"7","Visitor arrivals","US East","Statewide","persons",185253,176777,225648,159115,199344,240223,243498,199659,133185,148075,150386,215358,199815,194113,119571,1310,2904,5733,7462,7668,6141,19600,40202,71630,50788,63899,133162,119189,193501,247382,272821,223124
"8","Visitor arrivals","Japan","Statewide","persons",120418,120653,133858,119487,113226,126592,134587,160728,143928,134557,131536,136635,117995,124122,44133,20,16,42,53,334,86,161,451,1724,1165,695,1051,1367,1312,1859,2817,3005
"9","Visitor arrivals","Canada","Statewide","persons",69687,66590,76913,56749,26424,19172,26939,28672,21928,32250,50598,64182,66442,65352,26885,9,22,59,93,102,173,389,802,4063,2898,493,326,527,564,627,1999,6154
"10","Visitor arrivals","Europe","Statewide","persons",8022,8282,8139,11260,10332,8940,16059,18525,14107,14892,9097,10252,7629,8574,4067,43,31,50,83,97,68,154,331,424,334,317,539,706,942,1003,1203,1536
"11","Visitor arrivals","United Kingdom","Statewide","persons",2671,2397,2685,3886,3399,2760,4506,4957,4534,4062,2515,2849,2688,2407,1417,17,19,21,41,31,30,57,143,177,142,168,307,368,511,553,638,646
"12","Visitor arrivals","France","Statewide","persons",1421,1394,1062,1753,1593,1524,3214,3610,1657,2815,1629,2251,1350,1539,555,11,2,6,9,16,6,20,62,54,25,39,51,61,92,84,56,142
"13","Visitor arrivals","Germany","Statewide","persons",2575,3224,3137,3737,3745,2928,4649,4819,5263,5641,3423,3158,2409,3224,1517,5,6,7,15,34,16,35,67,90,78,49,82,103,123,147,192,407
"14","Visitor arrivals","Italy","Statewide","persons",508,482,400,589,508,734,1173,3856,1114,868,544,747,426,466,138,2,2,3,8,4,1,15,23,22,23,26,17,33,55,27,62,112
